ITEM,FOTO,TIPO PRECO,PRECO,DATA
Tbone Steak - Dry Aged 120 dias - unidade,https://cdn.shopify.com/s/files/1/2254/3183/products/tbone-steak-dry-aged-120-dias-debetti_img3_480x480.jpg?v=1575006886,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Pernil de Cordeiro Poll Dorset - Santa Ignácia - R$ 76/kg- Peça,https://cdn.shopify.com/s/files/1/2254/3183/products/pernil-de-cordeiro-poll-dorset-santa-ignacia-debetti_img1_480x480.jpg?v=1575006228,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Bife De Ribeye - In Natura,https://cdn.shopify.com/s/files/1/2254/3183/products/bife-ribeye-in-natura-debetti_img1_480x480.jpg?v=1575006773,Preço normal,"R$ 149,25",20-01-2020 às 11:39
"Kit Churrasco + Dry - 15 pessoas ( R$ 38,41 por pessoa)",https://cdn.shopify.com/s/files/1/2254/3183/products/kit-churrasco-_-dry-15-pessoas-debetti_img1_480x480.jpg?v=1575006543,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Kit Churrasco In-Natura,https://cdn.shopify.com/s/files/1/2254/3183/products/kit-churrasco-debetti_img2_480x480.jpg?v=1575005748,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Tbone Steak - Dry Aged - COMBO 2 unidades,https://cdn.shopify.com/s/files/1/2254/3183/products/tbone-steak-dry-aged-combo-2-unidades-debetti_img1_480x480.jpg?v=1575005770,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Kit Churrasco in Natura - 8 pessoas,https://cdn.shopify.com/s/files/1/2254/3183/products/kit-churrasco-in-natura-8-pessoas-debetti_img1_480x480.jpg?v=1575006403,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Kit Churrasco in Natura - 10 pessoas,https://cdn.shopify.com/s/files/1/2254/3183/products/kit-churraco-in-natura-10-pessoas-debetti_img1_480x480.jpg?v=1575005566,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Filet Mignon - In Natura - R$65/kg - Peça,https://cdn.shopify.com/s/files/1/2254/3183/products/filet-mignon-peca-debetti_img1_480x480.jpg?v=1575006744,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Picanha - In Natura - R$99/kg- Peça,https://cdn.shopify.com/s/files/1/2254/3183/products/picanha-in-natura-debetti_img1_480x480.jpg?v=1575005819,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Ribeye Steak - In Natura - COMBO 2 unidades,https://cdn.shopify.com/s/files/1/2254/3183/products/ribeye-steak-in-natura-combo-2-unidades-debetti_img1_480x480.jpg?v=1575006017,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Dry Aged Kit,https://cdn.shopify.com/s/files/1/2254/3183/products/dry-aged-kit-debetti_img1_480x480.jpg?v=1575006560,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Bife de Tira de Contrafilé Angus- In Natura- COMBO 2 unidades,https://cdn.shopify.com/s/files/1/2254/3183/products/bife-de-tira-de-contrafile-angus-in-natura-combo-2-debetti_img1_480x480.jpg?v=1575006475,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Ribeye Steak - In Natura s/ osso - unidade,https://cdn.shopify.com/s/files/1/2254/3183/products/ribeye-in-natura-sem-osso-debetti_img1_480x480.jpg?v=1575006726,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Prime Rib Steak - Dry Aged - unidade,https://cdn.shopify.com/s/files/1/2254/3183/products/prime-rib-steak-dry-aged-debetti_img1_480x480.jpg?v=1575006851,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Bife de Tira de Contrafilé Angus- In Natura,https://cdn.shopify.com/s/files/1/2254/3183/products/bife-de-tira-de-contrafile-angus-in-natura-debetti_img1_480x480.jpg?v=1575006930,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Roast Beef de Ribeye Angus,https://cdn.shopify.com/s/files/1/2254/3183/products/roast-beef-de-ribeye-angus-debetti_img1_480x480.jpg?v=1575006954,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Ribeye Cap - In Natura - unidade,https://cdn.shopify.com/s/files/1/2254/3183/products/ribeye-cap-in-natura-debetti_img1_480x480.jpg?v=1575005796,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Kit Felicidade,https://cdn.shopify.com/s/files/1/2254/3183/products/kit-felicidade-debetti_img1_480x480.jpg?v=1575005983,Preço normal,"R$ 149,25",20-01-2020 às 11:39
Ojo de Bife - In Natura - unidade,https://cdn.shopify.com/s/files/1/2254/3183/products/ojo-de-bife-in_natura-debetti_img2_480x480.jpg?v=1575006047,Preço normal,"R$ 149,25",20-01-2020 às 11:39
